chat_len,r_chat_msg,d_chat_msg,r1_chat_msg,r2_chat_msg,r3_chat_msg,r4_chat_msg,r5_chat_msg,d1_chat_msg,d2_chat_msg,d3_chat_msg,d4_chat_msg,d5_chat_msg
11,11,0,3,0,3,0,5,0,0,0,0,0
10,8,2,0,8,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,0,0,0,2,0,0,0,0,2,0
3,0,3,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,2
5,0,5,0,0,0,0,0,0,0,2,3,0
5,5,0,0,0,5,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,1,0,0,0,0
5,4,1,0,0,3,1,0,0,0,0,0,1
3,2,1,0,0,0,1,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0
11,6,5,0,2,0,2,2,2,0,0,0,3
4,0,4,0,0,0,0,0,1,0,3,0,0
10,6,4,0,0,0,1,5,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,13,0,0,1,0,0,0,4,0,0,9
49,43,6,0,0,1,8,34,0,0,1,0,5
4,3,1,0,0,2,0,1,0,0,1,0,0
27,12,15,1,3,1,1,6,1,3,0,3,8
3,2,1,0,0,0,0,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,1,0,0,3,0,0,0,0,0
16,9,7,0,8,0,0,1,0,7,0,0,0
11,10,1,5,5,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,1,5,0,0,0,8,1,0,0,0,0
4,1,3,1,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,0,1,0,0,0,1,0,1,0
10,7,3,1,0,0,4,2,3,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0
20,16,4,0,0,14,1,1,0,2,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,0,0,0,2,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,11,0,0,7,0,0,0,4,0,7,0
2,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,0,0,0,0,0,0,1,0,0,1
5,1,4,0,0,1,0,0,0,0,2,2,0
4,0,4,0,0,0,0,0,3,0,0,0,1
20,4,16,3,0,0,0,1,0,3,0,0,13
5,3,2,0,0,0,0,3,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,6,0,0,3,1,2,0,0,0,0,6
2,0,2,0,0,0,0,0,0,2,0,0,0
4,3,1,3,0,0,0,0,0,1,0,0,0
30,11,19,0,11,0,0,0,0,11,3,5,0
10,5,5,0,0,0,5,0,0,0,2,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,0,0,0,2,0,0,2,0,0,0
6,3,3,2,1,0,0,0,0,0,1,0,2
7,4,3,3,0,1,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
2,2,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,1,0,2,0,0,0,0,0
8,3,5,0,0,0,0,3,0,0,5,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,1,4,0,1,0,0,1,0,0,0,0
3,2,1,0,2,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0
6,1,5,0,0,0,0,1,3,2,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
9,7,2,0,0,0,7,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,7,3,1,0,0,4,1,1,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0
29,12,17,0,3,2,0,7,4,0,10,1,2
3,1,2,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,1,0,0,0,0,0,0,0,0
3,2,1,2,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
50,40,10,39,1,0,0,0,0,3,4,1,2
1,0,1,0,0,0,0,0,0,0,0,0,1
12,3,9,3,0,0,0,0,0,0,1,8,0
9,6,3,0,0,0,4,2,1,0,0,2,0
10,7,3,0,7,0,0,0,3,0,0,0,0
2,2,0,0,0,0,2,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0
4,2,2,0,0,1,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
