game_time,game_mode,lobby_type,game_phase
155,All Draft,Ranked,early_game
658,Single Draft,Public matchmaking,early_game
21,Turbo Mode,Public matchmaking,early_game
576,All Draft,Ranked,early_game
453,All Draft,Ranked,early_game
160,All Draft,Ranked,early_game
1016,All Draft,Public matchmaking,mid_game
582,All Draft,Ranked,early_game
636,All Draft,Ranked,early_game
1054,All Draft,Public matchmaking,mid_game
1797,All Draft,Ranked,late_game
605,All Draft,Ranked,early_game
1514,All Draft,Ranked,mid_game
852,Single Draft,Public matchmaking,mid_game
721,Single Draft,Public matchmaking,early_game
11,All Draft,Public matchmaking,early_game
1362,Single Draft,Public matchmaking,mid_game
2388,Single Draft,Public matchmaking,late_game
752,All Draft,Ranked,early_game
2302,All Draft,Ranked,late_game
2043,All Draft,Public matchmaking,late_game
730,All Draft,Ranked,early_game
840,All Draft,Ranked,mid_game
1955,Single Draft,Public matchmaking,late_game
342,All Draft,Ranked,early_game
154,All Draft,Ranked,early_game
1249,All Draft,Ranked,mid_game
907,All Draft,Ranked,mid_game
655,All Draft,Ranked,early_game
1465,All Draft,Ranked,mid_game
1654,All Draft,Ranked,late_game
908,All Draft,Ranked,mid_game
2991,All Draft,Ranked,late_game
1079,All Draft,Ranked,mid_game
79,All Draft,Ranked,early_game
983,All Draft,Public matchmaking,mid_game
736,All Draft,Ranked,early_game
783,All Draft,Ranked,mid_game
1460,All Draft,Ranked,mid_game
51,Random Draft,Ranked,early_game
293,All Draft,Ranked,early_game
876,Single Draft,Public matchmaking,mid_game
19,All Draft,Ranked,early_game
843,All Draft,Ranked,mid_game
33,All Draft,Ranked,early_game
945,Turbo Mode,Public matchmaking,mid_game
947,All Draft,Ranked,mid_game
897,All Draft,Ranked,mid_game
379,All Draft,Ranked,early_game
1491,All Draft,Ranked,mid_game
464,Random Draft,Ranked,early_game
353,All Draft,Ranked,early_game
593,All Draft,Public matchmaking,early_game
1925,Single Draft,Public matchmaking,late_game
2750,All Draft,Ranked,late_game
2576,All Draft,Ranked,late_game
105,All Draft,Ranked,early_game
1473,All Draft,Ranked,mid_game
483,All Draft,Ranked,early_game
429,All Draft,Ranked,early_game
1925,All Draft,Ranked,late_game
68,All Draft,Ranked,early_game
2130,All Draft,Ranked,late_game
561,Turbo Mode,Public matchmaking,early_game
783,All Draft,Ranked,mid_game
1570,All Draft,Ranked,late_game
1214,All Draft,Ranked,mid_game
1783,All Draft,Ranked,late_game
213,All Draft,Ranked,early_game
2679,All Draft,Ranked,late_game
472,All Draft,Ranked,early_game
972,Turbo Mode,Public matchmaking,mid_game
1331,All Draft,Ranked,mid_game
1881,All Draft,Ranked,late_game
986,All Draft,Ranked,mid_game
601,All Draft,Ranked,early_game
1739,All Draft,Public matchmaking,late_game
48,All Draft,Ranked,early_game
2107,All Draft,Ranked,late_game
2524,All Draft,Ranked,late_game
1954,Random Draft,Public matchmaking,late_game
803,All Draft,Ranked,mid_game
2718,Single Draft,Public matchmaking,late_game
54,All Draft,Public matchmaking,early_game
866,All Draft,Public matchmaking,mid_game
898,All Draft,Public matchmaking,mid_game
1626,All Draft,Ranked,late_game
349,Turbo Mode,Public matchmaking,early_game
272,All Draft,Ranked,early_game
1037,All Draft,Ranked,mid_game
1297,All Draft,Ranked,mid_game
1427,All Draft,Public matchmaking,mid_game
369,All Draft,Ranked,early_game
595,All Draft,Ranked,early_game
230,All Draft,Ranked,early_game
2443,All Draft,Ranked,late_game
2128,All Draft,Public matchmaking,late_game
578,Single Draft,Public matchmaking,early_game
779,All Draft,Public matchmaking,early_game
408,All Draft,Ranked,early_game
343,All Draft,Ranked,early_game
161,All Draft,Ranked,early_game
1106,All Draft,Public matchmaking,mid_game
1863,All Draft,Public matchmaking,late_game
1020,All Draft,Ranked,mid_game
848,All Draft,Public matchmaking,mid_game
403,All Draft,Ranked,early_game
1812,All Draft,Ranked,late_game
945,All Draft,Ranked,mid_game
3291,All Draft,Public matchmaking,late_game
1195,All Draft,Public matchmaking,mid_game
224,All Draft,Ranked,early_game
359,All Draft,Ranked,early_game
748,All Draft,Ranked,early_game
2150,All Draft,Ranked,late_game
394,All Draft,Public matchmaking,early_game
1429,All Draft,Public matchmaking,mid_game
1054,All Draft,Ranked,mid_game
440,All Draft,Ranked,early_game
451,All Draft,Ranked,early_game
1453,All Draft,Ranked,mid_game
1300,All Draft,Ranked,mid_game
875,All Draft,Ranked,mid_game
214,All Draft,Ranked,early_game
1527,All Draft,Ranked,mid_game
812,All Draft,Ranked,mid_game
448,All Draft,Ranked,early_game
612,All Draft,Public matchmaking,early_game
1792,All Draft,Ranked,late_game
1315,All Draft,Ranked,mid_game
1146,All Draft,Public matchmaking,mid_game
941,All Draft,Ranked,mid_game
513,All Draft,Public matchmaking,early_game
1112,All Draft,Ranked,mid_game
456,Turbo Mode,Public matchmaking,early_game
1766,All Draft,Ranked,late_game
1161,All Draft,Public matchmaking,mid_game
374,All Draft,Ranked,early_game
2039,All Draft,Ranked,late_game
459,All Draft,Public matchmaking,early_game
710,All Draft,Ranked,early_game
531,All Draft,Ranked,early_game
3135,All Draft,Ranked,late_game
466,All Draft,Ranked,early_game
954,All Draft,Public matchmaking,mid_game
1868,All Draft,Ranked,late_game
654,All Draft,Ranked,early_game
2224,All Draft,Ranked,late_game
