r_tower_killed,d_tower_killed,r_barracks_killed,d_barracks_killed,r_roshan_killed,d_roshan_killed,r_first_blood,d_first_blood,r_had_aegis,d_had_aegis,r_tower_denied,d_tower_denied,obj_len,r_obj,d_obj
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
2,0,0,0,0,0,False,True,0,0,0,0,3,2,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
4,3,0,0,0,0,False,True,0,0,0,0,8,4,4
3,5,0,0,0,0,True,False,0,0,0,0,9,4,5
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
1,4,0,0,0,0,False,True,0,0,0,0,6,1,5
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
1,4,0,0,0,0,False,True,0,0,0,0,6,1,5
7,7,1,1,0,0,False,False,0,0,0,0,16,8,8
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
7,4,0,0,1,1,False,True,1,1,0,0,16,9,7
3,6,0,0,0,2,True,False,0,2,0,1,15,4,11
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,1,0,0,0,0,True,False,0,0,0,0,2,1,1
7,3,0,2,0,1,False,True,0,1,0,0,15,7,8
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
3,1,0,0,0,0,False,False,0,0,0,1,5,3,2
1,1,0,0,0,0,True,False,0,0,0,0,3,2,1
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
2,2,0,0,0,0,True,False,0,0,0,0,5,3,2
3,1,0,0,1,0,True,False,1,0,0,1,8,6,2
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
6,8,2,4,2,0,True,False,2,0,0,1,26,13,13
2,1,0,0,0,0,False,True,0,0,0,0,4,2,2
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,1,0,0,0,0,True,False,0,0,0,0,2,1,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,3,0,0,0,0,False,True,0,0,0,0,4,0,4
0,2,0,0,0,0,False,True,0,0,1,0,4,1,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,1,0,0,0,0,False,True,0,0,0,0,2,0,2
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
0,2,0,0,0,0,True,False,0,0,0,0,3,1,2
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,4,0,0,0,0,True,False,0,0,1,0,7,3,4
1,0,0,0,0,0,False,True,0,0,0,0,2,1,1
5,0,0,0,0,0,True,False,0,0,0,0,6,6,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
5,1,0,0,0,1,True,False,0,1,0,0,9,6,3
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
1,0,0,0,0,0,True,False,0,0,0,0,2,2,0
2,4,0,0,0,0,True,False,0,0,0,0,7,3,4
3,5,2,0,0,1,False,True,0,1,2,1,16,7,9
9,3,0,4,2,0,False,True,2,0,1,0,22,14,8
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,3,0,0,0,0,True,False,0,0,0,0,4,1,3
0,0,0,0,0,0,False,True,0,0,0,0,1,0,1
0,0,0,0,0,0,True,False,0,0,0,0,1,1,0
4,8,4,0,0,1,True,False,0,1,0,0,19,9,10
0,0,0,0,0,0,False,False,0,0,0,0,0,0,0
